,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
1389,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ftth_cases_monthly,20220101,2022-04-03 08:24:47.301000 UTC,25251
1390,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221113,,2022-11-14 13:02:44.951000 UTC,283624862
1391,edm-cloud-dwh-prod-9652,prd_temp_tb,_bqc_ac1bf4f72f764fc5a51915edbcdfe478,,2023-04-18 07:07:53.463000 UTC,2534
1392,cvm-cloud-dwh-prod-4383,dev_xlcms_acl_tb,dyn_offer_catalog,20230208,2023-04-13 09:48:40.292000 UTC,1953
1393,edm-cloud-dwh-prod-9652,prd_xldim_acl_tb,ows_sfm_outlet_ts_upd,20200825,2021-11-19 10:20:29.103000 UTC,290978
1394,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_adh_init_ar1_deposit_reason,20210817,2022-04-08 19:58:52.783000 UTC,19
1395,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,luthfi_ro_user_mrev_90d,20221130,2023-01-26 16:11:41.363000 UTC,181318
1396,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ar1_charge_group_v2,20210530,2022-04-09 22:12:11.968000 UTC,112176185
1397,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ftth_wo_status,__NULL__,2022-02-04 06:10:24.557000 UTC,0
1398,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221127,,2022-11-28 13:03:00.263000 UTC,286466556
1399,edm-cloud-dwh-prod-9652,prd_temp_tb,_bqc_db73fdcf92a04411a2b4a0c7319cde14,,2023-04-17 19:34:42.048000 UTC,202249
1400,edm-cloud-dwh-prod-9652,prd_temp_tb,_bqc_76564176c99d4f57a0eba1142eb2394b,,2023-04-17 17:36:00.419000 UTC,201352
1401,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_digi1_campaign_kpi,20230417,2023-04-17 21:12:17.311000 UTC,716527
1402,cvm-cloud-dwh-prod-4383,prd_xlcms_acl_tb,cms_ref_whitelist_temp,__NULL__,2022-06-09 22:05:05.275000 UTC,0
1403,edm-cloud-dwh-dev-0051,prd_xldf_stg_tb_hive_temp,f_d_adh_inc_ar1_memo,,2023-01-23 03:16:12.062000 UTC,923050
